julian,year,month,day,id,z,proc,lat,lon,date
728111,1993,7,1,3804,82,Tmax,39.349998,-81.433334,1993-07-01
728112,1993,7,2,3804,84,Tmax,39.349998,-81.433334,1993-07-02
728113,1993,7,3,3804,88,Tmax,39.349998,-81.433334,1993-07-03
728114,1993,7,4,3804,90,Tmax,39.349998,-81.433334,1993-07-04
728115,1993,7,5,3804,92,Tmax,39.349998,-81.433334,1993-07-05
728116,1993,7,6,3804,91,Tmax,39.349998,-81.433334,1993-07-06
728117,1993,7,7,3804,92,Tmax,39.349998,-81.433334,1993-07-07
728118,1993,7,8,3804,94,Tmax,39.349998,-81.433334,1993-07-08
728119,1993,7,9,3804,96,Tmax,39.349998,-81.433334,1993-07-09
728120,1993,7,10,3804,93,Tmax,39.349998,-81.433334,1993-07-10
728121,1993,7,11,3804,94,Tmax,39.349998,-81.433334,1993-07-11
728122,1993,7,12,3804,85,Tmax,39.349998,-81.433334,1993-07-12
728123,1993,7,13,3804,92,Tmax,39.349998,-81.433334,1993-07-13
728124,1993,7,14,3804,90,Tmax,39.349998,-81.433334,1993-07-14
728125,1993,7,15,3804,80,Tmax,39.349998,-81.433334,1993-07-15
728126,1993,7,16,3804,85,Tmax,39.349998,-81.433334,1993-07-16
728127,1993,7,17,3804,87,Tmax,39.349998,-81.433334,1993-07-17
728128,1993,7,18,3804,90,Tmax,39.349998,-81.433334,1993-07-18
728129,1993,7,19,3804,87,Tmax,39.349998,-81.433334,1993-07-19
728130,1993,7,20,3804,86,Tmax,39.349998,-81.433334,1993-07-20
728131,1993,7,21,3804,82,Tmax,39.349998,-81.433334,1993-07-21
728132,1993,7,22,3804,81,Tmax,39.349998,-81.433334,1993-07-22
728133,1993,7,23,3804,82,Tmax,39.349998,-81.433334,1993-07-23
728134,1993,7,24,3804,87,Tmax,39.349998,-81.433334,1993-07-24
728135,1993,7,25,3804,92,Tmax,39.349998,-81.433334,1993-07-25
728136,1993,7,26,3804,94,Tmax,39.349998,-81.433334,1993-07-26
728137,1993,7,27,3804,92,Tmax,39.349998,-81.433334,1993-07-27
728138,1993,7,28,3804,95,Tmax,39.349998,-81.433334,1993-07-28
728139,1993,7,29,3804,86,Tmax,39.349998,-81.433334,1993-07-29
728140,1993,7,30,3804,76,Tmax,39.349998,-81.433334,1993-07-30
728141,1993,7,31,3804,85,Tmax,39.349998,-81.433334,1993-07-31
728111,1993,7,1,3810,93,Tmax,35.733334,-81.38333100000001,1993-07-01
728112,1993,7,2,3810,93,Tmax,35.733334,-81.38333100000001,1993-07-02
728113,1993,7,3,3810,96,Tmax,35.733334,-81.38333100000001,1993-07-03
728114,1993,7,4,3810,97,Tmax,35.733334,-81.38333100000001,1993-07-04
728115,1993,7,5,3810,99,Tmax,35.733334,-81.38333100000001,1993-07-05
728116,1993,7,6,3810,98,Tmax,35.733334,-81.38333100000001,1993-07-06
728117,1993,7,7,3810,100,Tmax,35.733334,-81.38333100000001,1993-07-07
728118,1993,7,8,3810,99,Tmax,35.733334,-81.38333100000001,1993-07-08
728119,1993,7,9,3810,98,Tmax,35.733334,-81.38333100000001,1993-07-09
728120,1993,7,10,3810,99,Tmax,35.733334,-81.38333100000001,1993-07-10
728121,1993,7,11,3810,98,Tmax,35.733334,-81.38333100000001,1993-07-11
728122,1993,7,12,3810,98,Tmax,35.733334,-81.38333100000001,1993-07-12
728123,1993,7,13,3810,97,Tmax,35.733334,-81.38333100000001,1993-07-13
728124,1993,7,14,3810,97,Tmax,35.733334,-81.38333100000001,1993-07-14
728125,1993,7,15,3810,90,Tmax,35.733334,-81.38333100000001,1993-07-15
728126,1993,7,16,3810,87,Tmax,35.733334,-81.38333100000001,1993-07-16
728127,1993,7,17,3810,93,Tmax,35.733334,-81.38333100000001,1993-07-17
728128,1993,7,18,3810,93,Tmax,35.733334,-81.38333100000001,1993-07-18
728129,1993,7,19,3810,94,Tmax,35.733334,-81.38333100000001,1993-07-19
728130,1993,7,20,3810,95,Tmax,35.733334,-81.38333100000001,1993-07-20
728131,1993,7,21,3810,93,Tmax,35.733334,-81.38333100000001,1993-07-21
728132,1993,7,22,3810,91,Tmax,35.733334,-81.38333100000001,1993-07-22
728133,1993,7,23,3810,89,Tmax,35.733334,-81.38333100000001,1993-07-23
728134,1993,7,24,3810,88,Tmax,35.733334,-81.38333100000001,1993-07-24
728135,1993,7,25,3810,95,Tmax,35.733334,-81.38333100000001,1993-07-25
728136,1993,7,26,3810,86,Tmax,35.733334,-81.38333100000001,1993-07-26
728137,1993,7,27,3810,94,Tmax,35.733334,-81.38333100000001,1993-07-27
728138,1993,7,28,3810,96,Tmax,35.733334,-81.38333100000001,1993-07-28
728139,1993,7,29,3810,96,Tmax,35.733334,-81.38333100000001,1993-07-29
728140,1993,7,30,3810,88,Tmax,35.733334,-81.38333100000001,1993-07-30
728141,1993,7,31,3810,88,Tmax,35.733334,-81.38333100000001,1993-07-31
728111,1993,7,1,3811,91,Tmax,35.599998,-88.916664,1993-07-01
728112,1993,7,2,3811,92,Tmax,35.599998,-88.916664,1993-07-02
728113,1993,7,3,3811,94,Tmax,35.599998,-88.916664,1993-07-03
728114,1993,7,4,3811,95,Tmax,35.599998,-88.916664,1993-07-04
728115,1993,7,5,3811,92,Tmax,35.599998,-88.916664,1993-07-05
728116,1993,7,6,3811,93,Tmax,35.599998,-88.916664,1993-07-06
728117,1993,7,7,3811,93,Tmax,35.599998,-88.916664,1993-07-07
728118,1993,7,8,3811,96,Tmax,35.599998,-88.916664,1993-07-08
728119,1993,7,9,3811,96,Tmax,35.599998,-88.916664,1993-07-09
728120,1993,7,10,3811,96,Tmax,35.599998,-88.916664,1993-07-10
